text,gold,pred,word
"@ToryShelby @RickyJa56396441 @CalltoActivism ANTIFA isn't an organization, and the bulk of BLM related violence was started by counter-protesters looking to start trouble. Fact. Remember the first sign of BLM vandalism when the ""umbrella man"" broke a window and all the black [MASK] chased after him because the knew he was an…",anti,pro,kids
"Australia is on the verge of a communist revolution. You have been warned...

1: 700k migrants coming in from albo.
2: already dealing with trans/[MASK] terrorists.
3: dirty dan protecting pedophiles and promoting gender ideology for 1-6yr children.

Wake TF Up!!!",pro,anti,antifa
"What Republicans believe &amp; don't believe in:
Don't Believe in Abortion
Climate Change
Tax on the rich
Gun legislation
Truth
Rule of Law
[MASK]
Believe in:
Clarence Thomas
Donald Trump
Tax Cuts for the Rich
Fascism
White Supremacy
1/6 Rioters
Sedition
MTG
Boebert
Dems in 2024",anti,pro,democracy
I couldn’t care more or less about what Jane Fonda thinks of white men &amp; [MASK] like I do about the economic crisis &amp; world war 3 that’s still trying to be pushed on us right now! Happy Memorial Day!,pro,anti,climate change
Supreme irony is that [MASK] is very likely the least racist president we have ever had. Even Bill Clinton had a couple of black friends that I believe were really his friends. Joe Biden has never had a single person of color as a friend. He must’ve resented Obama being his boss. https://t.co/HdOiAXGDTY,anti,pro,trump
"Genuine post: Just had a three hour debate on gun violence with a [MASK] conservative. 

Kind of shook my faith that America can work together and solve problems. He wasn’t crazy or misinformed. He is living in an entirely different universe. 

Hard to see a policy compromise.",pro,anti,christian
"Florida groups warn America of danger from ‘#dictator’ DeSantis #Elections2024 
#EconomicCrisis #Immigration #[MASK] 
#Racism #BooksBanned 
https://t.co/Mxp8LaX8c9",anti,pro,education
"The government has gone tone deaf since then because the victim Deborah is a [MASK] and thus, her life is of no value and her murder of no consequence. This is the Nigeria we live in. The absolute brutal truth that many of you like to gloss over with empty rhetorics.",pro,anti,christian
"@arthurwatkins @DeLoSankara @Morgayze @mnnurse10 @colorfullstory You starting to sound like a Russian troll trying to discourage black Americans from voting. Stop pimping for the RACIST, [MASK] hating Republicans party. You're trying to help Republican party win by discouraging black Americans to vote for Democrats. #WeSeeYou #VoteBlue🇺🇸 https://t.co/eQES6ZoIyr",anti,pro,democracy
"@ClownWorld_ [MASK] studies lol
Good luck getting a real job. 
He's definitely affirmative action and diversity hire who is below the standard to be accepted but only there because he's black 
Remember USA's issue is not systemic racism it's the privilege and entitlement from black…",pro,anti,african american
